no,Address,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,homeType
1,7 Yvonne Ave,M3L1C6,Toronto,,,999,3,3,SINGLE_FAMILY
2,251 Manitoba St #327,M8Y0C7,Toronto,43.62386,-79.488945,2900,2,2,CONDO
3,160 Flemington Rd,M6A2N9,Toronto,43.72315,-79.44823,5500,0,0,CONDO
4,68 Abell St #720,M6J0B1,Toronto,43.64239,-79.424736,13275,1,1,CONDO
5,15 Stafford St #513,M5V3X6,Toronto,43.641495,-79.417,19650,1,1,CONDO
6,20 Burkebrook Pl,M4G0A1,Toronto,43.7182,-79.376884,20000,0,0,CONDO
7,18 William Carson Cres #B-84,M2P2G6,Toronto,,,22000,0,0,CONDO
8,28 William Carson Cres #B-38,M2P2H1,Toronto,,,22000,0,0,CONDO
9,2 Eva Rd #P2-79,M9C0A9,Toronto,,,35000,0,0,CONDO
10,800 Lawrence Ave W #P3-63,M6A0B1,Toronto,43.7145,-79.45351,38888,0,0,CONDO
11,170 Sudbury St #2,M6J0A1,Toronto,43.641552,-79.424515,50000,0,0,CONDO
12,3865 Lake Shore Blvd W #P3-61,M8W0A2,Toronto,43.58977,-79.54517,60000,0,0,CONDO
13,35 Finch Ave E #C17,M2N6Z8,Toronto,43.784,-79.41268,65000,0,0,CONDO
14,2 Sonic Way #29,M3C0P2,Toronto,43.719334,-79.33631,75000,0,0,CONDO
15,36 Blue Jays Way #P3-32,M5V3T3,Toronto,,,82000,0,0,CONDO
16,1 Four Winds Dr #1002,M3J2T1,Toronto,43.764618,-79.4921,142900,1,2,CONDO
17,4673 Jane St #810,M3N2L1,Toronto,43.77447,-79.521,225000,1,1,CONDO
18,3621 Lake Shore Blvd W #110,M8W4W1,Toronto,43.593613,-79.53594,229000,1,1,CONDO
19,88 Corporate Dr #705,M1H3G6,Toronto,43.78964,-79.24979,249900,2,2,CONDO
20,4645 Jane St #336,M3N2K9,Toronto,43.769455,-79.51981,270000,1,2,CONDO
21,235 Grandravine Dr #1412,M3N1J2,Toronto,43.74851,-79.559,285000,1,1,CONDO
22,4673 Jane St UNIT 618,M3N2L1,Toronto,43.77447,-79.521,295000,1,2,CONDO
23,4673 Jane St #713,M3N2L1,Toronto,43.77447,-79.521,298000,1,2,CONDO
24,7 Brimley Rd S #E31,M1M3W3,Toronto,43.76276,-79.231865,299999,1,1,TOWNHOUSE
25,235 Grandravine Dr #410,M3N1J2,Toronto,43.74851,-79.559,317000,1,2,CONDO
26,235 Grandravine Dr #402,M3N1J2,Toronto,,,317000,1,2,APARTMENT
27,4645 Jane St #909,M3N2K9,Toronto,43.769455,-79.51981,320000,1,2,CONDO
28,200 Lotherton Ptwy #503,M6B2G9,Toronto,43.7731,-79.465744,329700,1,2,CONDO
29,775 King St W #233,M5V2K3,Toronto,43.64313,-79.4624,330000,0,0,CONDO
30,11 Charlotte St #1401,M5V0M6,Toronto,43.64635,-79.39363,330000,1,1,CONDO
31,37 Sherbourne St #304,M5A2P6,Toronto,43.6596,-79.36789,330000,1,2,CONDO
32,503 Beecroft Rd #306,M2N0A2,Toronto,43.77824,-79.41777,339900,1,3,CONDO
33,4060 Lawrence Ave E #103,M1E4V4,Toronto,,,349900,1,2,CONDO
34,65 Liberty St #608,M6K1Y4,Toronto,43.637943,-79.42186,360000,1,2,CONDO
35,1 King St W UNIT 1808,M5H1A1,Toronto,43.648827,-79.3781,368000,1,0,CONDO
36,234 Albion Rd #610,M9W6A5,Toronto,43.72163,-79.543816,374900,2,3,CONDO
37,5765 Yonge St PENTHOUSE 407,M2M4H9,Toronto,43.78311,-79.41517,375000,2,3,CONDO
38,50 Old Kingston Rd #2104,M1E4Y1,Toronto,43.77618,-79.18265,378800,1,2,CONDO
39,5 Frith Rd #412,M3N2L5,Toronto,43.745888,-79.515816,398000,1,1,CONDO
40,785 Browns Line #603,M8W3V8,Toronto,43.6879,-79.547585,399000,1,2,CONDO
41,1 King St W #2002,M5H1A1,Toronto,43.648827,-79.3781,399000,1,0,CONDO
42,340 Dixon Rd #1209,M9R1T1,Toronto,43.695618,-79.553856,399800,1,2,CONDO
43,3237 Bayview Ave #505,M2K0G1,Toronto,43.7912,-79.3928,399900,1,1,CONDO
44,49 E Liberty St #2609,M6K0A7,Toronto,43.638775,-79.41172,399999,1,1,CONDO
45,1 King St W #1118,M5H1A1,Toronto,43.648827,-79.3781,405000,1,1,CONDO
46,3625 Lake Shore Blvd W #202,M8W4W2,Toronto,43.59323,-79.53615,435000,1,3,CONDO
47,575 Avenue Rd #904,M4V2K2,Toronto,,,439900,1,1,CONDO
48,800 Kennedy Rd #605,M1K2C9,Toronto,43.733185,-79.26924,445000,1,2,CONDO
49,51 E Liberty St #205,M6K,Toronto,43.638138,-79.42845,449000,1,0,CONDO
50,370 Dixon Rd #1006,M9R1T2,Toronto,43.695915,-79.55616,449000,1,2,CONDO
51,8 McKee Ave #1008,M2N7E5,Toronto,43.77339,-79.4134,449900,2,3,CONDO
52,735 Don Mills Rd #2505,M3C1S9,Toronto,43.711655,-79.33481,449900,1,1,CONDO
53,234 Albion Rd #503,M9W6A5,Toronto,43.72163,-79.543816,449900,2,3,CONDO
54,600 Queens Quay W #215,M5V3M3,Toronto,43.63681,-79.397514,449900,1,1,CONDO
55,5 Frith Rd #804,M3N2L5,Toronto,43.745888,-79.515816,449900,1,1,CONDO
56,50 Ordnance St #2308,M6K0C9,Toronto,43.63979,-79.4984,459000,1,0,CONDO
57,225 Sumach St #504W,M5A0P8,Toronto,43.6617,-79.3635,469000,1,1,CONDO
58,715 Don Mills Rd #1,M3C1S5,Toronto,43.7174,-79.33373,469900,1,1,CONDO
59,345 Driftwood Ave #905,M3N2P4,Toronto,43.767612,-79.512215,469900,1,2,CONDO
60,4 Park Vis #302,M4B3M8,Toronto,43.697975,-79.299355,469900,1,1,CONDO
61,775 King St W #221,M5V2K3,Toronto,43.64313,-79.4624,475000,1,2,TOWNHOUSE
62,4060 Lawrence Ave E #109,M1E4V4,Toronto,43.76626,-79.19796,479000,2,4,TOWNHOUSE
63,1 Massey Sq #1112,M4C5L4,Toronto,,,479900,1,1,CONDO
64,255 Richmond St E PENTHOUSE 6,M5A4T7,Toronto,43.652912,-79.3735,482000,1,0,CONDO
65,80 Grandravine Dr #509,M3J1B2,Toronto,43.75324,-79.4993,488000,2,3,CONDO
66,320 Dixon Rd #715,M9R1S8,Toronto,,,489000,2,3,CONDO
67,10 Eddystone Ave #156,M3N2T2,Toronto,43.74954,-79.517136,489900,2,4,TOWNHOUSE
68,30 Meadowglen Pl #303,M1G2V6,Toronto,,,493500,1,1,CONDO
69,1 Hickory Tree Rd #2007,M9N3W4,Toronto,,,498000,1,1,CONDO
70,3077 Weston Rd #1501,M9M3A1,Toronto,43.732376,-79.53698,498888,1,1,CONDO
71,3231 Eglinton Ave E #808B,M1J3N5,Toronto,,,499000,2,2,CONDO
72,5229 Dundas St W #1809,M9B6L9,Toronto,,,499000,1,1,CONDO
73,275 Yorkland Rd #1504,M2J0B4,Toronto,43.77483,-79.33691,499000,1,1,CONDO
74,778 Sheppard Ave W #501,M3H6B7,Toronto,43.753742,-79.448395,499000,2,2,CONDO
75,335 Lonsdale Rd #104,M5P1R4,Toronto,43.68828,-79.41355,499000,1,1,CONDO
76,60 Brian Harrison Way #3306,M1P5J5,Toronto,43.77433,-79.2581,499000,1,1,CONDO
77,2645 Kipling Ave #404,M9V3S6,Toronto,43.74747,-79.58333,499000,2,2,CONDO
78,111 Elizabeth St #1651,M5G1P7,Toronto,43.654842,-79.38468,499000,1,0,CONDO
79,301 Prudential Dr #1002,M1P4V3,Toronto,43.749928,-79.26863,499000,1,2,CONDO
80,3233 Eglinton Ave E #1112,M1J3N6,Toronto,43.74371,-79.2135,499000,1,1,CONDO
81,1837 Eglinton Ave E #227,M4A2Y4,Toronto,43.72432,-79.3328,499900,2,1,TOWNHOUSE
82,410 Queens Quay W #513,M5V3T1,Toronto,43.638134,-79.39147,499900,1,1,CONDO
83,1250 Bridletowne Cir #1006,M1W2V1,Toronto,43.79448,-79.31232,499900,1,2,CONDO
84,235 Grandravine Dr #702,M3N1J2,Toronto,43.74851,-79.559,499988,1,2,APARTMENT
85,410 McLevin Ave #612,M1B5J5,Toronto,,,499990,1,1,CONDO
86,5 Soudan Ave #923,M4S0B1,Toronto,43.7423,-79.39735,499999,1,1,CONDO
87,3 Marine Parade Dr UNIT 508,M8V3Z5,Toronto,43.63234,-79.47622,523500,2,2,CONDO
88,783 Bathurst St #304,M5S0A8,Toronto,43.664516,-79.4158,529000,1,0,CONDO
89,22 Leader Ln UNIT 316,M5E0B2,Toronto,43.649258,-79.37576,529000,1,1,CONDO
90,50 Grandravine Dr #2,M3J1B1,Toronto,43.75336,-79.48941,529900,3,3,TOWNHOUSE
91,28 Rexdale Blvd #43,M9W5Z3,Toronto,43.714233,-79.55794,535000,2,2,TOWNHOUSE
92,6 Eva Rd #1407,M9C0B1,Toronto,43.64415,-79.5639,539000,2,2,CONDO
93,15 Vicora Linkway #915,M3C1A9,Toronto,43.7193,-79.32513,539900,1,2,CONDO
94,185 Legion Rd N #2110,M8Y0A1,Toronto,43.624832,-79.488785,539900,1,1,CONDO
95,1 Neighbourhood Ln #101,M8Y0C2,Toronto,43.637733,-79.48798,539900,1,1,CONDO
96,630 Greenwood Ave #214,M4J0A8,Toronto,43.681126,-79.332436,549900,1,1,CONDO
97,210 Victoria St UNIT 3910,M5B2R3,Toronto,43.654713,-79.3792,549900,1,1,CONDO
98,20 Gilder Dr #206,M1K5E1,Toronto,43.73658,-79.257835,549900,2,3,CONDO
99,2 Eva Rd #2121,M9C0A9,Toronto,43.64327,-79.56238,549999,1,1,CONDO
100,1 Neighbourhood Ln #513,M8Y0C2,Toronto,43.637733,-79.48798,559000,1,1,CONDO
101,88 Blue Jays Way #1210,M5V0L7,Toronto,43.645473,-79.39232,559000,1,0,CONDO
102,1730 Eglinton Ave E #7,M4A2X9,Toronto,,,560000,1,1,CONDO
103,830 Lawrence Ave W #1103,M6A0B6,Toronto,43.714245,-79.45384,569900,1,1,CONDO
104,5 Greystone Walk Dr #906,M1K5J5,Toronto,,,569900,1,2,CONDO
105,90 Stadium Rd UNIT 1907,M5V3W5,Toronto,43.634823,-79.4156,574900,2,2,CONDO
106,21 Widmer St #3103,M5V0B8,Toronto,43.64718,-79.3916,574900,1,0,CONDO
107,197 Yonge St #1512,M5B1M4,Toronto,,,575000,1,0,CONDO
108,200 Sackville St #1201,M5A0C4,Toronto,,,579000,1,1,CONDO
109,16 Brookers Ln #705,M8V0A5,Toronto,,,579900,1,1,CONDO
110,2 Eva Rd #828,M9C0A9,Toronto,43.64327,-79.56238,579900,1,1,CONDO
111,75 Canterbury Pl #310,M2N0J3,Toronto,,,588000,1,1,CONDO
112,3151 Bridletowne Cir #506,M1W2T1,Toronto,43.797565,-79.31985,588800,2,2,CONDO
113,2901 Jane St #114,M3N2J8,Toronto,43.75267,-79.5151,589000,2,3,TOWNHOUSE
114,1070 Sheppard Ave W #1116,M3J0G8,Toronto,43.75698,-79.4655,589900,1,1,CONDO
115,8 Silverbell Grv #207,M1B4Z3,Toronto,43.84848,-79.21674,589900,2,2,CONDO
116,195 Redpath Ave #3216,M4P0E4,Toronto,43.71346,-79.39317,592000,1,1,CONDO
117,298 Jarvis St #1007,M5B2M4,Toronto,43.66116,-79.37658,594900,2,2,CONDO
118,255 Bamburgh Cir #2002,M1W3T6,Toronto,43.813545,-79.32216,598000,2,1,CONDO
119,161 Frederick Tisdale Dr #1,M3K0B5,Toronto,43.73627,-79.47671,599000,2,2,TOWNHOUSE
120,185 Roehampton Ave #813,M4P0C6,Toronto,,,599000,1,1,CONDO
121,2119 Lake Shore Blvd W #111,M8V4E8,Toronto,43.627926,-79.478165,599000,1,1,CONDO
122,88 Park Lawn Rd #801,M8Y0B5,Toronto,43.624134,-79.48582,599000,1,1,CONDO
123,236 Albion Rd #403,M9W6A6,Toronto,43.7228,-79.543945,599000,2,3,CONDO
124,75 Bamburgh Cir #726,M1W3W1,Toronto,43.814484,-79.325325,599000,2,3,CONDO
125,39 Grandville Ave,M6N4T8,Toronto,43.678783,-79.49515,599000,2,2,SINGLE_FAMILY
126,100 Mornelle Ct #1091,M1E4X2,Toronto,43.787228,-79.19468,599000,2,2,TOWNHOUSE
127,6 Sonic Way #2403,M3C0P1,Toronto,43.7216,-79.33666,599000,2,2,CONDO
128,103 Bude St S,M6E2E4,Toronto,43.69384,-79.44214,599900,2,0,SINGLE_FAMILY
129,33 Mill St #1109,M5A3R3,Toronto,43.65352,-79.3699,599900,1,1,CONDO
130,31 Tippett Rd #461,M3H0C8,Toronto,43.733253,-79.44614,599900,1,2,CONDO
131,4 Elsinore Path UNIT 703,M8V4G7,Toronto,43.61597,-79.51155,599900,1,2,CONDO
132,105 Victoria St #1202,M5C3B4,Toronto,43.652245,-79.37764,599999,1,1,CONDO
133,5 Old Sheppard Ave UNIT 1205,M2J4K3,Toronto,,,600000,2,3,CONDO
134,3077 Weston Rd #412,M9M3A1,Toronto,43.732376,-79.53698,605000,2,2,CONDO
135,25 Carlton St #911,M5B1L4,Toronto,43.66115,-79.38163,609900,1,1,CONDO
136,1900 Lake Shore Blvd W #1804,M6S1A4,Toronto,43.63646,-79.46664,609900,1,1,CONDO
137,2221 Yonge St #4907,M4S0B8,Toronto,43.766,-79.397766,609900,1,1,CONDO
138,53 Pitt Ave,M1L2R3,Toronto,43.726,-79.2919,609900,2,4,SINGLE_FAMILY
139,10 Markbrook Ln #1705,M9V5E3,Toronto,43.7597,-79.588585,619900,2,2,CONDO
140,66 Portland St #607,M5V2M6,Toronto,43.643913,-79.4116,619900,1,1,CONDO
141,222 The Esplanade #602,M5A4M8,Toronto,43.64975,-79.365654,625000,1,2,CONDO
142,1 Hickory Tree Rd #303,M9N3W4,Toronto,43.69813,-79.51368,625000,2,2,CONDO
143,110 Marine Parade Dr #211,M8V0B6,Toronto,43.625294,-79.47797,625000,1,1,CONDO
144,121 McMahon Dr #902,M2K0C1,Toronto,43.767727,-79.3762,628000,1,1,CONDO
145,1100 Kingston Rd #401,M1N0B3,Toronto,43.681454,-79.28247,629900,1,1,CONDO
146,55 Huntingdale Blvd #1603,M1W2N9,Toronto,43.79587,-79.32518,629900,2,2,CONDO
147,16 McAdam Ave W #607,M6A0B9,Toronto,43.722855,-79.45715,639000,1,1,CONDO
148,21 Iceboat Ter #825,M5V4A9,Toronto,43.6444,-79.39719,639000,1,1,CONDO
149,1103 Leslie St #405,M3C4G8,Toronto,43.72276,-79.34794,639000,2,2,CONDO
150,3845 Lake Shore Blvd W #1510,M8W4Y3,Toronto,,,645000,1,2,CONDO
151,500 Saint Clair Ave W #709,M6C1A8,Toronto,,,648000,1,1,CONDO
152,120 Harrison Garden Blvd #212,M2N,Toronto,43.7587,-79.4434,649000,1,1,CONDO
153,135 Leeward Gtwy #306,M3C2Z6,Toronto,43.711792,-79.32778,649000,2,3,TOWNHOUSE
154,60 Shuter St #2110,M5B1B1,Toronto,43.65516,-79.37625,649000,1,1,CONDO
155,1 Palace Pier Ct #4107,M8V3W9,Toronto,,,649000,1,1,CONDO
156,165 Cherokee Blvd #251,M2J4T7,Toronto,43.79244,-79.33577,649000,2,5,TOWNHOUSE
157,14 B York St S #4611,M5J0B1,Toronto,43.641994,-79.381584,649900,1,1,CONDO
158,50 Brian Harrison Way #2404,M1P5J4,Toronto,,,649900,2,2,CONDO
159,159 Dundas East St #2603,M5B0A9,Toronto,43.65687,-79.3759,649900,1,1,CONDO
160,371 Orton Park Rd #90,M1G3V1,Toronto,,,649900,2,4,TOWNHOUSE
161,53 Guestville Ave,M6N4N4,Toronto,43.6833,-79.48873,649900,2,2,SINGLE_FAMILY
162,50 Orchid Place Dr #28,M1B0C4,Toronto,43.79331,-79.237,649999,2,2,TOWNHOUSE
163,390 Cherry St #604,M5A0E2,Toronto,43.6557,-79.35727,650500,1,1,CONDO
164,181 Dundas St E #2609,M5A0N5,Toronto,43.656967,-79.37412,659000,1,1,CONDO
165,50 George Butchart Dr #911,M3K1Y2,Toronto,,,659000,1,1,CONDO
166,8 Eglinton Ave E #4906,M4P0C1,Toronto,,,668000,1,1,CONDO
167,197 Yonge St #1406,M5B1M4,Toronto,,,668800,1,1,CONDO
168,99 The Donway W UNIT 228,M3C0N8,Toronto,,,669000,2,1,CONDO
169,6 Sonic Way #808,M3C0P1,Toronto,43.7216,-79.33666,669900,2,2,CONDO
170,608 Richmond St W UNIT 419,M5V0N9,Toronto,43.646847,-79.4283,670000,1,1,CONDO
171,14 York St UNIT 6611,M5J0B1,Toronto,43.642544,-79.38146,674999,1,1,CONDO
172,1720 Eglinton Ave E #202,M4A2X8,Toronto,43.72638,-79.31152,675000,2,2,CONDO
173,290 Adelaide St W #1802,M5V1N1,Toronto,43.647938,-79.3994,679000,1,1,CONDO
174,4725 Sheppard Ave E UNIT 1602,M1S5B2,Toronto,43.7924,-79.25466,679000,2,2,CONDO
175,30 Meadowglen Pl #2606,M1G2V5,Toronto,,,679900,2,2,CONDO
176,25 Sunrise Ave #402,M4A2S2,Toronto,43.7191,-79.3226,683000,2,3,CONDO
177,68 Grangeway Ave #709,M1H0A1,Toronto,43.77366,-79.249855,683900,2,2,CONDO
178,1121 Bay St #605,M5S3L9,Toronto,43.66837,-79.38844,685000,1,1,CONDO
179,2100 Bridletowne Cir #309,M1W0A6,Toronto,43.79894,-79.31347,688000,2,2,TOWNHOUSE
180,88 Harbour St #5,M5J0C3,Toronto,43.641872,-79.379654,689000,1,1,CONDO
181,88 Harbour St #2405,M5J0C3,Toronto,43.641872,-79.379654,689000,1,1,CONDO
182,2221 Yonge St #4110,M4S0B8,Toronto,43.766,-79.397766,689900,2,1,CONDO
183,29 Rosebank Dr #1809,M1B5Y7,Toronto,43.791588,-79.235374,695000,3,3,TOWNHOUSE
184,586 Renforth Dr #41,M9C2N5,Toronto,43.652874,-79.5887,698000,2,3,TOWNHOUSE
185,88 Scott St #2908,M5E0A9,Toronto,,,698000,1,1,CONDO
186,20 Minowan Miikan Ln #1702,M6J0E5,Toronto,43.64363,-79.42813,699000,2,2,CONDO
187,25 Maitland St #1501,M4Y2W1,Toronto,43.66379,-79.38326,699000,1,2,CONDO
188,88 Grangeway Ave #2007,M1H0A2,Toronto,43.77475,-79.252,699000,2,2,CONDO
189,225 Village Green Sq #507,M1S0N4,Toronto,43.779842,-79.28196,699000,2,2,CONDO
190,133 Wynford Dr #1401,M3C0J5,Toronto,43.72679,-79.328125,699000,2,2,CONDO
191,3121 Sheppard Ave E #1905,M1T0B6,Toronto,,,699000,2,3,CONDO
192,5 Soudan Ave #2605,M4S0B1,Toronto,43.7423,-79.39735,699000,1,1,CONDO
193,856 Danforth Rd,M1K1H5,Toronto,43.72722,-79.2538,699000,2,3,SINGLE_FAMILY
194,115 Omni Dr UNIT 2807,M1P5B4,Toronto,43.771736,-79.26138,699000,2,2,CONDO
195,217 Saint George St TOWNHOUSE 11,M5R3S7,Toronto,43.67218,-79.4125,699000,1,2,TOWNHOUSE
196,509 Beecroft Rd #1216,M2N0A3,Toronto,43.77866,-79.417946,699000,1,1,CONDO
197,3840 Bathurst St #702,M3H6C6,Toronto,43.74112,-79.4358,699000,2,2,CONDO
198,1121 Steeles Ave W PENTHOUSE 107,M2R3W7,Toronto,43.79176,-79.44959,699000,2,2,CONDO
199,29 Rosebank Dr S #802,M1B5Y7,Toronto,43.791588,-79.235374,699000,3,4,TOWNHOUSE
200,95 Palmdale Dr,M1T1P2,Toronto,43.77591,-79.3815,699000,3,4,TOWNHOUSE
201,45 Sunrise Ave #311,M4A2S3,Toronto,,,699000,2,3,CONDO
202,2301 Danforth Ave #306,M4C0A7,Toronto,43.68671,-79.37625,699000,2,2,CONDO
